ano,sigla_uf,regiao,serie,rede_resultado,rede_meta,resultado_alfabetizacao_uf_pct,resultado_alfabetizacao_uf_ano_anterior_pct,variacao_alfabetizacao_uf_pp,taxa_alfabetizacao_brasil_pct,diferenca_brasil_pp,meta_ano_resultado_uf_pct,diferenca_meta_ano_pp,meta_alfabetizacao_2030_pct,diferenca_meta_2030_pp,status_meta_ano,status_meta_2030,ranking_uf_no_ano,percentual_participacao_uf_pct,percentual_participacao_brasil_pct,flag_possui_distribuicao_niveis,flag_registro_com_indicadores,chave_gold_evolucao_alfabetizacao_uf,_ingestion_date,_execution_id
2023,AP,Norte,2,5,Pública,41.56,,,55.9,-14.34,,,80.0,-38.44,SEM_META_ANUAL,ABAIXO_META_2030,21,89.68,86.0,FALSE,TRUE,2023_AP_5,2026-06-30,20260630T195542Z
2024,AP,Norte,2,5,Pública,46.62,41.56,05.06,59.2,-12.58,47.6,-0.98,80.0,-33.38,ABAIXO_META_ANUAL,ABAIXO_META_2030,21,89.14,87.37,TRUE,TRUE,2024_AP_5,2026-06-30,20260630T195542Z
2023,MG,Sudeste,2,5,Pública,59.81,,,55.9,3.91,,,80.0,-20.19,SEM_META_ANUAL,ABAIXO_META_2030,8,89.59,86.0,FALSE,TRUE,2023_MG_5,2026-06-30,20260630T195542Z
2024,MG,Sudeste,2,5,Pública,72.07,59.81,12.26,59.2,12.87,63.2,8.87,80.0,-7.93,ATINGIU_META_ANUAL,ABAIXO_META_2030,3,88.85,87.37,TRUE,TRUE,2024_MG_5,2026-06-30,20260630T195542Z
2024,MT,Centro-Oeste,2,5,Pública,60.59,55.03,5.56,59.2,1.39,59.2,1.39,80.0,-19.41,ATINGIU_META_ANUAL,ABAIXO_META_2030,9,88.46,87.37,TRUE,TRUE,2024_MT_5,2026-06-30,20260630T195542Z
2023,RN,Nordeste,2,5,Pública,37.24,,,55.9,-18.66,,,80.0,-42.76,SEM_META_ANUAL,ABAIXO_META_2030,22,78.55,86.0,FALSE,TRUE,2023_RN_5,2026-06-30,20260630T195542Z
2024,RN,Nordeste,2,5,Pública,39.29,37.24,02.05,59.2,-19.91,43.8,-4.51,80.0,-40.71,ABAIXO_META_ANUAL,ABAIXO_META_2030,23,77.72,87.37,TRUE,TRUE,2024_RN_5,2026-06-30,20260630T195542Z
2023,TO,Norte,2,5,Pública,43.72,,,55.9,-12.18,,,80.0,-36.28,SEM_META_ANUAL,ABAIXO_META_2030,20,83.91,86.0,FALSE,TRUE,2023_TO_5,2026-06-30,20260630T195542Z
2024,TO,Norte,2,5,Pública,50.07,43.72,6.35,59.2,-9.13,49.5,0.57,80.0,-29.93,ATINGIU_META_ANUAL,ABAIXO_META_2030,17,85.15,87.37,TRUE,TRUE,2024_TO_5,2026-06-30,20260630T195542Z
2024,AC,Norte,2,5,Pública,51.38,,,59.2,-7.82,,,80.0,-28.62,SEM_META_ANUAL,ABAIXO_META_2030,16,80.87,87.37,TRUE,TRUE,2024_AC_5,2026-06-30,20260630T195542Z
2023,ES,Sudeste,2,5,Pública,67.93,,,55.9,12.03,,,80.0,-12.07,SEM_META_ANUAL,ABAIXO_META_2030,3,88.4,86.0,FALSE,TRUE,2023_ES_5,2026-06-30,20260630T195542Z
2024,ES,Sudeste,2,5,Pública,71.69,67.93,3.76,59.2,12.49,69.9,1.79,80.0,-8.31,ATINGIU_META_ANUAL,ABAIXO_META_2030,4,89.94,87.37,TRUE,TRUE,2024_ES_5,2026-06-30,20260630T195542Z
